name,id,qrs
229200458756943240296861171184277424929,218,[1473626 1474027]
305758148871507360124395796999812527590,218,[1473626 1474027 1474426]
290783109378023172393265940360721136759,218,[1474027 1474426 1474827]
85662481023315591425848879079301884893,218,[1474426 1474827 1475222]
273005119163682623495310923275426647355,218,[1474827 1475222 1475614]
271394713951861240141920513884117049308,218,[1475222 1475614 1476022]
167761929168272473064834347626562064616,218,[1475614 1476022 1476422]
87473285005247596503264525774916268745,218,[1476022 1476422 1476820]
78102839065707291679501240829354713326,218,[1476422 1476820 1477218]
127798463128003287660647944118918987083,218,[1476820 1477218 1477619]
31283227226909133829795584643378149471,218,[1477218 1477619 1478020]
132674713177147725826915509838456661880,218,[1477619 1478020 1478412]
71314239528919863088704521754810904858,218,[1478020 1478412 1478812]
164985497095330540164157604914903166962,218,[1478412 1478812 1479209]
312113894908156574932717198614953036588,218,[1478812 1479209 1479607]
220042996357369215110015669110801252042,218,[1479209 1479607 1479993]
198368705979986007972161477292656143805,218,[1479607 1479993 1480401]
5144661585296098025985362115642227573,218,[1479993 1480401 1480780]
310530838439070104512428665871506648348,218,[1480401 1480780 1481160]
142708427004635296112081637375500542790,218,[1480780 1481160 1481598]
282502900056227813974225737087182755907,218,[1481160 1481598 1481998]
76136861140846568378978448483431769809,218,[1481598 1481998 1482397]
196320307480023168947203977545431067751,218,[1481998 1482397 1482826]
286314914287351807318252324855038289313,218,[1482397 1482826 1483235]
268907493377104214452415225054049044143,218,[1482826 1483235 1483670]
334991803438859537282264575015327457865,218,[1483235 1483670 1484036]
279635614835032006119041446382980562693,218,[1483670 1484036 1484411]
204525916727702265858435864535884761394,218,[1484036 1484411 1484827]
146494363465757641327105172715600387420,218,[1484411 1484827 1485212]
204221159636381017330854524207874591397,218,[1484827 1485212 1485615]
142369595997976483029208999665331377331,218,[1485212 1485615 1486027]
34839010323254946961349041437012000755,218,[1485615 1486027 1486432]
36514367371424605696135218623812495600,218,[1486027 1486432 1486849]
78395087894026470217196219627154015709,218,[1486432 1486849 1487258]
98863796033633200205779528009511285838,218,[1486849 1487258 1487665]
270475210310204923126723706396086449892,218,[1487258 1487665 1488074]
205215758673292386791240116931553767385,218,[1487665 1488074 1488483]
47697081582960826215336979225946105933,218,[1488074 1488483 1488892]
279850302095499666355994579715051488399,218,[1488483 1488892 1489301]
17178471102886642254248364472723157557,218,[1488892 1489301 1489705]
73025948598560648031948453483081424134,218,[1489301 1489705 1490125]
110011214388390437622232796824529524508,218,[1489705 1490125 1490529]
86421796701565598764313156057661975670,218,[1490125 1490529 1490935]
63964861227332463493717676099285318431,218,[1490529 1490935 1491344]
217308578067060159269022923748473529124,218,[1490935 1491344 1491752]
80737004771728688355422787251397749883,218,[1491344 1491752 1492161]
227733546425562619891719047488165222350,218,[1491752 1492161 1492572]
142423881053702651955815596247410813503,218,[1492161 1492572 1492979]
112026081615721829013848929659131237178,218,[1492572 1492979 1493388]
