308090020203876522791163514783064055727,325,[1115600 1115985]
15292247053034442179718438174027724974,325,[1115600 1115985 1116366]
50578394600421385386700751204095545572,325,[1115985 1116366 1116751]
242154802971028752222061703054042892077,325,[1116366 1116751 1117134]
13657352235209761066345905930160908205,325,[1116751 1117134 1117517]
64762484163164612819129873934386121216,325,[1117134 1117517 1117899]
320335320551782919999925221392420418843,325,[1117517 1117899 1118281]
265985511512651254207002136920214096635,325,[1117899 1118281 1118665]
266489877183980709865258225418636333735,325,[1118281 1118665 1119047]
318117914124423709814027825042220806941,325,[1118665 1119047 1119427]
162636697983033371332604544163166750573,325,[1119047 1119427 1119809]
98912237086585730074857363439888100465,325,[1119427 1119809 1120189]
30041070582212508703023502566386269835,325,[1119809 1120189 1120572]
254248734197808660096500850749769213730,325,[1120189 1120572 1120952]
197451999626000497100227188615393552843,325,[1120572 1120952 1121339]
147044004434311980022058800432432347530,325,[1120952 1121339 1121725]
771274433692540005680290982539093442,325,[1121339 1121725 1122112]
291089668269903332579036843858882010242,325,[1121725 1122112 1122499]
86654429667487195073100497198804444060,325,[1122112 1122499 1122890]
209201688223163960216158487913981023220,325,[1122499 1122890 1123285]
326161471621007914764300052192796752642,325,[1122890 1123285 1123678]
197010472643483643712668901405680899261,325,[1123285 1123678 1124069]
321811394155964142668702963091201488817,325,[1123678 1124069 1124459]
182556685616477396843540338585408722646,325,[1124069 1124459 1124851]
16506770526794707649932854754304760063,325,[1124459 1124851 1125243]
142306617006195925242864915418899854100,325,[1124851 1125243 1125636]
81259671844458589156608404920012433993,325,[1125243 1125636 1126030]
51873420512671325942091167049256459608,325,[1125636 1126030 1126421]
189243784619533873605016894287040499198,325,[1126030 1126421 1126813]
65588877617183324429321015719908223238,325,[1126421 1126813 1127203]
13776620625930972045908796050511940378,325,[1126813 1127203 1127591]
276842387206369601076192917470154270089,325,[1127203 1127591 1127978]
337543301246379459853770067029101182085,325,[1127591 1127978 1128365]
87626288082384997429327696575882644668,325,[1127978 1128365 1128751]
65312309359419260471097022926435905091,325,[1128365 1128751 1129136]
271997329968812476049610921680341391777,325,[1128751 1129136 1129521]
234025255002370463007157093286918442865,325,[1129136 1129521 1129906]
56701025584390809890684170488470363345,325,[1129521 1129906 1130292]
283272623681115306290689971956218827886,325,[1129906 1130292 1130680]
122919649888142353828325455822138450116,325,[1130292 1130680 1131069]
123503294243988557256251784150551798497,325,[1130680 1131069 1131465]
85834416318516727838449769250543678474,325,[1131069 1131465 1131861]
83138696807012761466066197533165693233,325,[1131465 1131861 1132258]
237652331048294638592125253521920942147,325,[1131861 1132258 1132658]
95413271165860066601683796992335905587,325,[1132258 1132658 1133059]
198667525952690800133892133368483661847,325,[1132658 1133059 1133460]
148712053865700844853080483921181463458,325,[1133059 1133460 1133860]
165421635283578846235204076406284348294,325,[1133460 1133860 1134257]
110711505281857055588594263985672386823,325,[1133860 1134257 1134653]
245594531599964206522811412941844473942,325,[1134257 1134653 1135048]
